lang_tag	las_max	system	las_avg	las_sd
pl_lfg	94.86	HIT-SCIR	85.89	6.97 
ru_syntagrus	92.48	HIT-SCIR	79.68	9.09 
hi_hdtb	92.41	HIT-SCIR	85.16	5.32 
pl_sz	92.23	HIT-SCIR	81.47	7.27 
cs_fictree	92.02	HIT-SCIR	82.10	7.26 
it_isdt	92.00	HIT-SCIR	87.61	4.12 
cs_pdt	91.68	HIT-SCIR	82.18	6.91 
ca_ancora	91.61	HIT-SCIR	83.61	6.01 
cs_cac	91.61	HIT-SCIR	82.69	6.93 
sl_ssj	91.47	HIT-SCIR	75.00	9.13 
no_bokmaal	91.23	HIT-SCIR	79.80	7.29 
bg_btb	91.22	HIT-SCIR	82.52	5.88 
no_nynorsk	90.99	HIT-SCIR	78.55	7.88 
es_ancora	90.93	HIT-SCIR	82.84	6.17 
fi_pud	90.23	HIT-SCIR	68.87	15.61 
fr_sequoia	89.89	LATTICE	80.55	5.91 
el_gdt	89.65	HIT-SCIR	80.65	6.05 
nl_alpino	89.56	HIT-SCIR	77.76	7.42 
sk_snk	88.85	HIT-SCIR	76.53	7.24 
fi_tdt	88.73	HIT-SCIR	73.55	9.39 
sr_set	88.66	Stanford	79.84	6.57 
sv_talbanken	88.63	HIT-SCIR	77.71	6.50 
fi_ftb	88.53	HIT-SCIR	76.89	7.60 
uk_iu	88.43	HIT-SCIR	72.47	8.25 
fa_seraji	88.11	HIT-SCIR	78.71	6.04 
en_pud	87.89	LATTICE	74.51	8.28 
pt_bosque	87.81	Stanford	80.49	5.46 
hr_set	87.36	HIT-SCIR	78.37	6.42 
fro_srcmf	87.12	UDPipe Future	74.38	16.74 
la_ittb	87.08	HIT-SCIR	77.00	7.42 
ko_kaist	86.91	HIT-SCIR	77.10	8.72 
fr_gsd	86.89	HIT-SCIR	79.43	5.47 
ro_rrt	86.87	HIT-SCIR	75.77	7.66 
nl_lassysmall	86.84	HIT-SCIR	75.08	6.59 
da_ddt	86.28	HIT-SCIR	75.02	6.47 
cs_pud	86.13	HIT-SCIR	73.24	9.97 
af_afribooms	85.47	HIT-SCIR	76.61	6.17 
et_edt	85.35	HIT-SCIR	72.08	8.71 
ko_gsd	85.14	HIT-SCIR	71.88	10.53 
en_gum	85.05	LATTICE	74.20	6.27 
en_ewt	84.57	HIT-SCIR	75.99	5.40 
eu_bdt	84.22	HIT-SCIR	72.08	8.83 
sv_lines	84.08	HIT-SCIR	73.76	5.98 
lv_lvtb	83.97	HIT-SCIR	67.76	9.01 
ur_udtb	83.39	HIT-SCIR	75.89	4.69 
ja_gsd	83.11	HIT-SCIR	73.68	4.55 
gl_ctg	82.76	Stanford	72.46	7.13 
hu_szeged	82.66	HIT-SCIR	67.05	8.63 
en_lines	81.97	HIT-SCIR	72.28	5.59 
de_gsd	80.36	HIT-SCIR	70.13	7.14 
sv_pud	80.35	HIT-SCIR	67.02	9.23 
id_gsd	80.05	HIT-SCIR	73.05	4.69 
it_postwita	79.39	HIT-SCIR	64.95	6.88 
grc_perseus	79.39	HIT-SCIR	59.01	15.56 
grc_proiel	79.25	HIT-SCIR	65.02	14.58 
ar_padt	77.06	Stanford	64.07	6.41 
zh_gsd	76.77	HIT-SCIR	60.32	6.14 
he_htb	76.09	Stanford	58.73	5.29 
fr_spoken	75.78	HIT-SCIR	64.66	5.35 
cu_proiel	75.73	Stanford	62.64	6.98 
gl_treegal	74.25	UDPipe Future	64.65	5.61 
ru_taiga	74.24	ICS PAS	56.27	9.16 
la_proiel	73.61	HIT-SCIR	61.25	6.87 
la_perseus	72.63	HIT-SCIR	46.91	11.12 
ga_idt	70.88	TurkuNLP	58.37	7.05 
no_nynorsklia	70.34	HIT-SCIR	50.33	9.28 
sme_giella	69.87	LATTICE	51.10	14.32 
got_proiel	69.55	Stanford	60.55	4.93 
ug_udt	67.05	HIT-SCIR	54.27	6.90 
tr_imst	66.44	HIT-SCIR	55.61	6.49 
sl_sst	61.39	HIT-SCIR	47.07	5.84 
vi_vtb	55.22	HIT-SCIR	40.40	4.43 
fo_oft	49.43	CUNI x-ling	27.87	9.75 
hsb_ufal	46.42	SLT-Interactions	26.48	8.90 
br_keb	38.64	CEA LIST	13.27	8.77 
hy_armtdp	37.01	LATTICE	22.39	7.91 
kk_ktb	31.93	Uppsala	19.11	6.34 
kmr_mg	30.41	IBM NY	20.27	6.14 
pcm_nsc	30.07	CUNI x-ling	13.19	5.76 
ja_modern	28.33	Stanford	18.92	5.14 
bxr_bdt	19.53	AntNLP	11.45	4.28 
82. th pud 13.70 CUNI x-ling 1.38 Â± 2.83